description,address,rooms,area(kvm.),floor,building_type,rent/month,price,region,url
Продаю солнечную квартиру с окнами выходящими на фасад в каменно,Stabu 45,2,62,2/5,P. kara,1600,99200,centre,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ghnej.html
Tike piedāvāts 1-istabu studio tipa dzīvoklis mājas pirmajā stāv,Klusā 20,1,36,1/9,Jaun.,1111,40000,centre,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ecjkb.html
Pārdodu unikālu dzīvokli kas izbūvēts divos līmeņos un domāts p,Kalniņa 1,1,16,1/5,Renov.,3500,56000,centre,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/cfnjp.html
Dzīvoklis labi der īres biznesam. Ir iespējama mini viesnīcas h,Kalniņa 4,6,180,2/6,P. kara,1356,244000,centre,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/compd.html
Pārdošanā kompakts 3 istabu dzīvoklis. Divas istabas ir caurstai,Pērnavas 37A,3,47,1/5,P. kara,913,42900,centre,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dhene.html
Pārdodu gaišu trīs istabu dzīvokli Rīgas Pasažieru ostas rajonā ,Lugažu 6,3,59,1/5,Hrušč.,1525,90000,centre,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/bifoh.html
Piedāvājam lielisku  mājīgu 4 istabu dzīvokli Hospitāļu ielā .,Hospitāļu 8,5,107,6/7,Specpr.,2150,230000,centre,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ageeb.html
Продаются элитные апартаменты в старом городе на 4 этаже нового,Miesnieku 17,2,90,4/5,Renov.,7222,650000,centre,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/exnkh.html
Īpašnieks pārdod vienistabas dzīvokli centrā mūra mājā. Zemi ko,Valmieras 6,1,22,2/3,P. kara,723,15900,centre,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/gdxmg.html
Dzīvokli ar pazemes stāvvietu un lodžiju. Ēkas iedzīvotājiem ir ,Miera 57A,2,62,4/4,Jaun.,2335,144800,centre,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/acxck.html
Projektā pārdoti jau vairāk 70% dzīvokļu. Attīstītājs piedāv,Birznieka-Upīša 10,3,71,2/5,Renov.,2250,159750,centre,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dbpfd.html
Pēdējie 7 dzīvokļi šajā projektā. 2 istabu dzīvoklis pa tiešo no,Lāčplēša 24,2,52,4/6,Renov.,2391,124320,centre,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ejfko.html
Projekta Parker's attīstītājs pārdod trīs istabu dzīvokli Rīgas ,Valdemāra 41,3,82,2/7,Jaun.,3463,284000,centre,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/aneoo.html
Tiek pārdots gaišs labiekārtots divistabu dzīvoklis A. Čaka un ,Čaka 146,2,74,2/5,P. kara,1486,110000,centre,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/aexcj.html
Pārdošanā 3-istabu dzīvoklis ar remontu Rīgas klusajā centrā. Ta,Vesetas 34,3,75,5/12,Čehu pr.,1493,112000,centre,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/bnmdc.html
Pārdod mansarda dzīvokli Jēkaba ielā 26/28. Dzīvoklis ar vienu g,Jēkaba 26/28,2,67,5/5,P. kara,2164,145000,centre,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dlndc.html
Pārdod saulainu 2 istabu dzīvokli Rīgas centrā. Dzīvoklis nav st,Brīvības 66,2,46,6/6,P. kara,1956,89990,centre,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/beckem.html
Tiek pārdots trīs istabu dzīvoklis Rīgas centrā blakus Brīvības ,Brīvības 30,3,76,4/5,P. kara,1842,140000,centre,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/cjnmm.html
Pārdod dzīvokli prestižā jaunajā projektā klusajā centra ieliņā ,Martas 7,3,97,2/7,Jaun.,2423,235000,centre,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dmbdf.html
Kvalitātes pērle ar vēstures auru pašā Rīgas sirdī: mēbelēts aug,Elizabetes 18,3,98,5/6,Renov.,6122,600000,centre,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/amkej.html
Kvalitātes pērle ar vēstures auru pašā Rīgas sirdī: mēbelēts aug,Elizabetes 18,3,109,5/6,Renov.,6147,670000,centre,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ejdkb.html
Kvalitatīva pilna apdare mansardā renovētā mājā prestižā klusa,Dzirnavu 6,2,48,4/4,Renov.,3104,149000,centre,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/bhnem.html
Продаётся просторная и светлая 4ёх комнатная квартира в историче,Stabu 21,4,117,2/6,Jaun.,1838,215000,centre,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ceglm.html
Prestižā Viesturdārza rajonā dzīvoklis ar pilnu kvalitatīvu ap,Rūpniecības 50,3,80,4/7,Jaun.,2500,200000,centre,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/gxhpl.html
Pārdodas gaišs saulains un mājīgs plašs dzīvoklis ar 200 m2 ko,Vīlandes 5,4,200,4/5,Jaun.,2400,480000,centre,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/amdpn.html
Blakus banku augstskolai - silts plašs 52 kv/m dzīvoklis. Palīd,Duntes Iela,2,52,1/3,P. kara,1192,62000,centre,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/gixhm.html
Tiek pārdots dzīvoklis vislabākajā Rigas vietā pašā pilsētas ce,Raiņa bulv. 2,2,44,3/6,Renov.,2818,124000,centre,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/abgli.html
Viss stāvs ar divām ieejām un īpašums Andrejsalā gaida savus ja,Mastu 1,3,140,3/4,Renov.,1421,199000,centre,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ajgdo.html
Ekskluzīvs plašs dzīvoklis vēsturiskajā ēkā Elizabetes ielā 3 - ,Elizabetes 3,6,267,4/6,Renov.,7491,2000000,centre,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/cccpn.html
Tiek piedāvāts elegants 3-guļamistabu dzīvoklis Skolas ielā reno,Skolas 14,4,145,3/6,Renov.,2414,350000,centre,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/aieeo.html
